"date","obs_chl_ugl","mean","min","max","sd","ens_1","ens_2","ens_3","ens_4","ens_5","ens_6","ens_7","ens_8","ens_9","ens_10","ens_11","ens_12","ens_13","ens_14","ens_15","ens_16","ens_17","ens_18","ens_19","ens_20","ens_21","ens_22","ens_23","ens_24","ens_25","Past","Future","y"
2021-06-02,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,29.3154231635521,2021-05-30,2021-06-06,55
2021-06-03,34.2177376221742,29.6359042855268,26.6693133433147,32.8580904968939,1.6836663918323,28.7719565182575,28.2634833700549,27.9666390785095,30.3585025414098,32.750029113149,32.1058985397838,28.9046616127752,29.2591641574874,29.2243609286275,29.5803094614852,29.2085408647192,31.5066048365722,30.8242336425819,26.9742364939266,26.6693133433147,29.4389076710699,32.8580904968939,30.4654283270065,31.3523351932126,28.7882015748321,29.2210621170608,30.5568718223464,30.1693108450034,28.8237196174216,26.8557449706693,2021-05-30,2021-06-06,55
2021-06-04,31.0963203593342,29.166554918546,23.6160498164761,32.6174671256434,2.30063592038177,27.6355540913522,27.7923533260528,30.7873787709549,28.9178278655165,31.5667090198592,31.2557758895277,31.1854947314734,30.7488410094461,30.6706371395273,30.4972094267804,32.6174671256434,29.6693324550069,23.6160498164761,31.1899840236175,31.0927892150663,25.0867480048963,24.7736172125442,29.3571336177597,26.8379299126467,28.8355614908467,29.6746862563403,28.3830941684729,27.1479223989962,30.6285796626758,29.1951963321701,2021-05-30,2021-06-06,55
2021-06-05,27.8254020774453,32.3244983199024,26.7678416193146,41.5496988188346,3.63014071926249,35.4656460818475,31.5556271244516,31.9565841719435,33.2012393611065,30.667811730734,41.5496988188346,26.7678416193146,32.1395026673219,33.2447204933172,38.2769164759976,28.1782068039885,34.002282250629,29.340369863531,36.761740652061,28.9817654691255,29.562938698959,37.0155233954171,29.8428353518757,33.1910013121912,34.134880654918,32.8013476186745,27.9577116918881,34.2518360120134,28.6387444810275,28.6256851963924,2021-05-30,2021-06-06,55
2021-06-06,22.1989955033231,20.5555365819853,12.0440108505145,30.131656163161,4.11649589955459,12.0440108505145,24.5315366611417,22.4600297228089,21.9174665967703,22.1774548354896,21.0041097043765,19.3409100229694,13.1086994400933,30.131656163161,17.9567384535937,22.8867619059346,23.4915017049972,23.7374193235463,17.6154870802391,25.5305873412435,19.4915712961989,16.7319024302626,18.5574636865724,19.2505871668437,23.4928522944023,22.4426411337945,14.7643266475443,17.7787131544177,24.8491001295794,18.5948868031367,2021-05-30,2021-06-06,55
2021-06-07,32.7291110540909,28.1153086698388,16.7182042306832,40.9837934433484,5.45581334109143,32.5710956664571,23.2828840374399,29.3106357124396,22.2843454748493,40.9837934433484,28.3366345221497,32.609069628491,30.8635357025203,24.9458183971639,23.5236651485526,30.6779064451735,24.3465015811177,35.1586941166173,23.3406279458835,27.4291949355825,20.4364967811425,16.7182042306832,32.3801791877477,36.0131425203361,26.0091349472568,25.6134171606172,24.2681259533172,29.2522351751591,32.1408969611621,30.3864810707615,2021-05-30,2021-06-06,55
2021-06-08,27.8636561760778,34.97154365523,26.330108111072,47.6671382206599,5.57814359752657,39.3148863697355,30.6467599824987,30.8847896771665,38.0310169187298,43.7652124644973,40.7937051875074,32.6927252263659,33.2313607554974,35.0981488041432,40.987989266404,39.0283174103594,37.5459573798817,34.7804253697931,32.7193151003346,27.0799581972163,29.224284531883,43.0898417215982,30.5020270147388,33.2002407622461,26.330108111072,47.6671382206599,37.3900854568178,29.7721311981595,31.1928682892618,29.3192979641819,2021-05-30,2021-06-06,55
2021-06-09,19.247436277767,40.6644612491133,31.6032566447205,54.2222488336817,6.30403896736748,43.1075832752018,44.9657746290524,42.410615911414,36.9070723412545,38.7958637073628,50.4904893186714,33.986129826086,40.2778941224264,40.6165793703176,39.0252980561659,31.6032566447205,54.2222488336817,33.8265937788543,36.586953950361,36.7950131809255,47.8883945012394,36.971202369765,35.4447434443327,32.4964516222545,49.8576149699843,35.4338984803187,37.7184777867349,48.8858333635378,49.056856596394,39.2406911467764,2021-05-30,2021-06-06,55
2021-06-10,21.8922673835953,32.750362752302,13.8811230004445,46.2358943916402,7.51785887909521,45.0898534531478,35.6883918075676,32.7720237156234,21.0675388545393,35.3558489692377,13.8811230004445,34.578446888775,27.8088070792151,31.0562240447322,42.2394814840596,35.1553160886697,33.6636996015039,31.3614875636535,38.3908041847801,34.8473162801941,46.2358943916402,33.2262458048697,30.1426639772916,30.6358188406222,18.4209015133015,40.1739741524268,29.8588179466865,35.7473691432904,35.7337542987949,25.6272657224837,2021-05-30,2021-06-06,55
2021-06-11,26.1363304359041,41.1024651160765,30.2650331145211,53.7330078728342,6.28791039343952,45.2171863649828,53.7330078728342,35.5003729823722,38.3978123840707,37.4828963493337,40.9185431489377,40.7776668381629,34.1734786185879,39.9174415717118,38.2691212039023,51.5107467011735,30.2650331145211,39.4789349422038,47.1427214439628,34.4714344244321,49.9296339553923,35.8053361796279,35.0863300750363,44.6557135921512,48.7552950651263,40.5399976256343,36.3880318163963,48.4283964998802,34.7231985519748,45.9932965795028,2021-05-30,2021-06-06,55
