"date","obs_chl_ugl","mean","min","max","ens_1","ens_2","ens_3","ens_4","ens_5","ens_6","ens_7","ens_8","ens_9","ens_10","ens_11","ens_12","ens_13","ens_14","ens_15","ens_16","ens_17","ens_18","ens_19","ens_20","ens_21","ens_22","ens_23","ens_24","ens_25","Past","Future","y"
2021-06-06,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,32.2239549040785,2021-06-03,2021-06-10,55
2021-06-07,34.0471985039096,23.5932811404748,19.8084268846998,29.5506854513418,21.6306597113056,28.9100148362585,22.6376095170515,23.0275605456524,23.9373035063723,23.3923005363382,23.776465494081,21.8268543367011,21.2590419545436,22.8034757037995,19.8084268846998,22.7768938718706,23.644844785337,23.4044051171793,19.9279145220656,25.0229195419289,27.708265342941,29.5506854513418,24.4596034604478,23.8620393417044,22.5421878667605,21.9481232717528,24.4913742795118,22.9759951118695,24.5070635203552,2021-06-03,2021-06-10,55
2021-06-08,32.4646710606642,33.2191094669535,27.3803617714556,38.1917309741475,35.1548776835402,32.3788954520394,33.0966167218846,34.9690796754544,37.6736319511853,38.1917309741475,36.2145562237033,32.6081501846803,35.4853602678237,29.7739767475144,29.790815077315,31.7892066515991,27.3803617714556,33.6137244000165,30.5160036891214,33.790889170259,36.4541382882796,31.3961600444692,31.4835492737499,33.5040714171979,35.3832013926829,30.5818134094359,33.8911736427062,35.7713347404948,29.5844178230813,2021-06-03,2021-06-10,55
2021-06-09,21.9566407164654,28.6191813475992,20.290901201381,35.9721011754147,23.4100016246814,35.9721011754147,27.0022455852485,26.9130044755687,30.6169021270102,27.9584860230403,28.4189967784019,25.18854338128,27.0509696355729,30.4581654564482,29.0867871652386,24.9582729105528,29.7272593677286,26.8159580270072,33.2594177317825,29.4665064281259,30.7345075801424,31.7553798037494,32.2378796443049,20.290901201381,25.1837995833554,31.9496808519566,24.1150920584832,29.338869726994,33.5698053465101,2021-06-03,2021-06-10,55
2021-06-10,23.0373716110029,20.1661979427639,12.2529072537649,29.3945657321692,19.3359357656617,15.7932626781611,23.4378932460573,15.5146331741689,14.7557780840123,18.2784424428051,19.5025302243773,24.7165058543466,29.3945657321692,17.0053829851141,20.3353700791497,17.6529774747946,12.3279179821714,19.4858335670918,28.2828720772128,22.746173656444,21.9501363066977,23.5727908222399,22.577322556105,15.6194893853487,27.7020034674339,27.6653183120636,17.6964435120956,12.2529072537649,16.5524619296099,2021-06-03,2021-06-10,55
2021-06-11,22.0468476566019,30.8664848309274,17.8471616878732,44.0828883213505,18.4964056570152,27.9916006250171,30.421352998016,29.0518102119972,33.1490666021426,38.8562606290704,32.4883784640639,30.6585735747649,27.2728810417894,32.9990302492338,23.1989165790837,26.5667971350477,33.4736840534626,31.9950173743133,36.0317652120271,36.174266239277,17.8471616878732,28.7851392105674,26.2187432922152,33.3016397343361,36.8983934505719,44.0828883213505,26.305245183108,35.6564361472433,33.7406670995969,2021-06-03,2021-06-10,55
2021-06-12,22.0292987631454,35.5040844615118,21.2827117096104,46.0723600850893,27.3266772748676,42.5190009465869,38.6783512685983,21.2827117096104,44.9376019940162,32.9376916670923,45.3050265365473,34.0678835816955,36.0643142672746,31.8553758752377,43.9124399677114,34.6326315009756,34.7558648627998,39.2851662240076,37.1226330343894,38.4478629945152,34.1301267015299,35.2473525569739,27.010947563264,24.6203544006429,41.3449535333289,35.0269671235365,46.0723600850893,33.2872845071783,27.7305313603257,2021-06-03,2021-06-10,55
2021-06-13,24.8097066273731,35.48679581876,27.6709777937624,44.2722662050429,31.7087165408858,39.1433816460734,37.7872569314457,37.189418418959,29.6139222268197,30.1587520261413,34.2674423562255,34.757628140736,27.6709777937624,35.1934840081375,44.2722662050429,35.380236746467,39.0802152379083,32.3148444218157,30.6407752297744,41.6073398111908,36.770394267984,30.6745555971397,42.8137335374028,38.9885893637107,39.9696499707781,32.5901554734196,36.8439696056165,30.442517706536,37.2896722050282,2021-06-03,2021-06-10,55
2021-06-14,23.1500268202306,38.3146835700185,27.0807064414108,55.9287570324336,37.9367088495594,34.0198137011584,39.0254161390223,55.9287570324336,38.8526978992676,41.932493728605,46.843432024624,30.0548077524436,37.7659180247624,37.2026474391108,30.2776479393532,35.3309610638912,46.080312733629,45.6151816215001,40.7813501682316,31.9740701319126,31.8776186469545,30.4861780585016,49.6112050309086,33.6201187338462,27.0807064414108,42.8885166214887,45.9379879287107,31.2892714481924,35.4532700909454,2021-06-03,2021-06-10,55
2021-06-15,27.2054003755403,35.7441512555493,19.7124585796443,51.3585922788289,43.8040681565833,46.5318608724851,24.909723484789,19.7124585796443,42.9015394928306,37.0182249962959,27.7713268981697,28.5208842067112,46.8268953149678,33.8650175313369,30.1199610588899,30.6967409698231,35.1942818069537,20.7303385388359,42.7277448619639,44.1528183903499,27.8440789561992,34.8511165942287,41.8707932450605,51.3585922788289,28.8543135780091,29.6598703940965,44.0026199510998,29.8343850993604,49.8441261312185,2021-06-03,2021-06-10,55
2021-06-16,23.409318117427,41.7460782165373,25.920968228136,54.2856093560675,40.5172005197243,45.8886502981975,39.6759320752065,41.1416888593912,36.8134526911416,52.6532096332086,43.781714402602,34.6548584883964,44.1620686223767,44.7310616321622,35.8212761261269,43.83824809153,33.6162586115312,43.7375725177475,54.2856093560675,53.2353563681078,33.7364211136796,48.8182625130022,34.3299545250633,25.920968228136,40.0295664789576,40.3199133817032,38.3437689784557,51.485864658035,42.1130772428832,2021-06-03,2021-06-10,55
2021-06-17,24.4705400677155,33.4084543710674,17.1623054898258,46.9332679103429,31.4808734552689,29.2105913472253,25.7012139581711,40.9788639100586,34.5116238248212,25.8705467035617,21.1412165200366,31.8244938050311,33.1034735130124,17.1623054898258,38.0237168072694,43.3634989461535,45.0803020044067,36.6168007364977,38.1202220230086,42.9020726619892,28.8353602372804,34.7066847619949,26.0759362406701,39.8747656191017,46.9332679103429,33.6786898025884,30.4923385676079,23.3449107888628,36.1775896418982,2021-06-03,2021-06-10,55
2021-06-18,22.5601765080854,33.5507019727669,11.1923451517009,49.9453883649965,35.964255665708,43.6289207536546,31.7636129305627,36.047755825671,39.1778299285341,32.2992683006536,38.2758698867198,39.4343567521095,15.2004694227856,25.8432799730598,19.2741373973713,28.1869394491871,32.4463833248051,40.9836602585341,44.1560801024477,31.3640440203334,33.4876161821245,49.9453883649965,32.2164126134443,41.4573845765773,29.5582269422157,37.4152412759751,40.1169956302105,11.1923451517009,29.331074589791,2021-06-03,2021-06-10,55
