"date","obs_chl_ugl","fcast_chl_ugl"
2021-05-17,21.3510350707376,22.4053351580458
2021-05-18,21.0997254408311,23.9165031292176
2021-05-19,21.8191725458056,21.0915182301677
2021-05-20,23.6341726488236,25.7100271543893
2021-05-21,22.9934518782641,25.6254201227247
2021-05-22,26.8081731081087,21.0751359395847
2021-05-23,22.140984268106,26.8868466784516
2021-05-24,30.2357897715184,33.8323225881265
2021-05-25,29.7562634610483,27.6036302743527
2021-05-26,36.7608259636949,30.991407229327
2021-05-27,29.5065744652516,34.8347331688516
2021-05-28,29.8023467993093,32.6365553080178
2021-05-29,34.8324806923758,29.7118686799785
2021-05-30,33.4490794503138,33.9128554253875
2021-05-31,33.3782113065091,38.4103888794376
2021-06-01,35.8691393224792,28.4137448914943
2021-06-02,28.8074426604932,26.3461953486803
2021-06-03,29.8996284361961,35.0021503200271
2021-06-04,31.7573154503504,25.8642249532981
2021-06-05,32.6852823913429,22.5719084864343
2021-06-06,27.0815410974641,24.0305169439502
2021-06-07,33.6915437219807,21.8193198017185
2021-06-08,34.1829320975116,30.2572906480277
2021-06-09,20.5243872217369,28.1371154448282
2021-06-10,24.704867456523,33.1433042585286
2021-06-11,23.1625271968129,26.7446916521071
2021-06-12,24.217842914461,30.0466306040489
2021-06-13,23.8456931497174,21.2347552636552
2021-06-14,25.9469094026226,27.5283512943504
2021-06-15,23.3248812043123,25.5976661463764
2021-06-16,24.4819756307148,27.6879837901966
2021-06-17,25.6235023038126,16.116122559304
2021-06-18,27.4095953524983,22.9030222268096
2021-06-19,20.0520604169494,23.2353976689583
2021-06-20,24.7253761725265,26.0284701908198
